Throughput,FLOPS,MEM
0.53,65.028,3.615
0.87,115.606,4.822
1.49,180.634,6.028
1.8,260.112,7.236
1.64,354.042,8.444
2,462.422,9.652
2.41,585.253,10.861
2.36,722.534,12.071
2.83,874.267,13.281
3.79,1040.45,14.492
0.59,65.028,3.615
0.91,115.606,4.822
1.09,180.634,6.028
1.82,260.112,7.236
1.78,354.042,8.444
1.92,462.422,9.652
2.38,585.253,10.861
2.43,722.534,12.071
2.82,874.267,13.281
3.94,1040.45,14.492
0.6,65.028,3.615
0.92,115.606,4.822
1.51,180.634,6.028
1.84,260.112,7.236
1.66,354.042,8.444
2.03,462.422,9.652
2.44,585.253,10.861
2.44,722.534,12.071
2.81,874.267,13.281
3.94,1040.45,14.492
0.59,65.028,3.615
0.93,115.606,4.822
1.54,180.634,6.028
1.54,260.112,7.236
1.78,354.042,8.444
1.93,462.422,9.652
2.45,585.253,10.861
2.44,722.534,12.071
2.85,874.267,13.281
3.86,1040.45,14.492
1.14,65.028,3.615
1.95,115.606,4.822
1.87,180.634,6.028
2.33,260.112,7.236
2.37,354.042,8.444
3.15,462.422,9.652
2.98,585.253,10.861
3,722.534,12.071
3.31,874.267,13.281
3.85,1040.45,14.492
1.02,65.028,3.615
2.01,115.606,4.822
1.93,180.634,6.028
2.39,260.112,7.236
2.51,354.042,8.444
3.25,462.422,9.652
3.08,585.253,10.861
3.06,722.534,12.071
3.44,874.267,13.281
3.92,1040.45,14.492
1.1,65.028,3.615
1.92,115.606,4.822
1.87,180.634,6.028
2.31,260.112,7.236
2.38,354.042,8.444
3.09,462.422,9.652
3,585.253,10.861
3.03,722.534,12.071
3.46,874.267,13.281
3.92,1040.45,14.492
1.14,65.028,3.615
1.96,115.606,4.822
1.85,180.634,6.028
2.31,260.112,7.236
2.37,354.042,8.444
3.16,462.422,9.652
3.01,585.253,10.861
3.01,722.534,12.071
3.42,874.267,13.281
3.93,1040.45,14.492
1.22,65.028,3.615
1.92,115.606,4.822
1.85,180.634,6.028
2.3,260.112,7.236
2.39,354.042,8.444
3.08,462.422,9.652
2.99,585.253,10.861
3,722.534,12.071
3.48,874.267,13.281
3.92,1040.45,14.492
1.03,65.028,3.615
1.93,115.606,4.822
1.86,180.634,6.028
2.29,260.112,7.236
2.38,354.042,8.444
3.16,462.422,9.652
2.94,585.253,10.861
3.04,722.534,12.071
3.42,874.267,13.281
3.92,1040.45,14.492
0.59,65.028,3.615
0.89,115.606,4.822
1.49,180.634,6.028
1.83,260.112,7.236
1.63,354.042,8.444
2.03,462.422,9.652
2.41,585.253,10.861
2.43,722.534,12.071
2.79,874.267,13.281
3.9,1040.45,14.492
0.57,65.028,3.615
0.9,115.606,4.822
1.5,180.634,6.028
1.84,260.112,7.236
1.64,354.042,8.444
1.92,462.422,9.652
2.53,585.253,10.861
2.38,722.534,12.071
2.82,874.267,13.281
3.78,1040.45,14.492
0.31,65.028,3.615
0.96,115.606,4.822
1.58,180.634,6.028
1.72,260.112,7.236
1.82,354.042,8.444
2.02,462.422,9.652
2.68,585.253,10.861
2.45,722.534,12.071
2.87,874.267,13.281
3.84,1040.45,14.492
0.25,65.028,3.615
0.91,115.606,4.822
1.51,180.634,6.028
1.85,260.112,7.236
1.71,354.042,8.444
2.02,462.422,9.652
2.44,585.253,10.861
2.44,722.534,12.071
2.81,874.267,13.281
3.96,1040.45,14.492
0.59,65.028,3.615
0.92,115.606,4.822
1.51,180.634,6.028
1.88,260.112,7.236
1.67,354.042,8.444
2.02,462.422,9.652
2.43,585.253,10.861
2.44,722.534,12.071
2.8,874.267,13.281
3.93,1040.45,14.492
