Throughput,FLOPS,MEM
0.05,0.589,0.262
0.19,2.341,1.041
0.21,5.77,2.566
0.24,10.912,4.851
0.22,18.782,8.349
0.24,30.001,13.336
0.23,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.1,0.589,0.262
0.2,2.341,1.041
0.2,5.77,2.566
0.21,10.912,4.851
0.21,18.782,8.349
0.22,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.21,113.246,50.335
0.11,0.589,0.262
0.19,2.341,1.041
0.2,5.77,2.566
0.19,10.912,4.851
0.22,18.782,8.349
0.21,30.001,13.336
0.22,44.458,19.762
0.21,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.1,0.589,0.262
0.11,2.341,1.041
0.18,5.77,2.566
0.21,10.912,4.851
0.21,18.782,8.349
0.22,30.001,13.336
0.22,44.458,19.762
0.21,62.065,27.587
0.2,85.488,37.998
0.21,113.246,50.335
0.1,0.589,0.262
0.2,2.341,1.041
0.2,5.77,2.566
0.22,10.912,4.851
0.2,18.782,8.349
0.21,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.09,0.589,0.262
0.2,2.341,1.041
0.2,5.77,2.566
0.22,10.912,4.851
0.21,18.782,8.349
0.23,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.11,0.589,0.262
0.2,2.341,1.041
0.17,5.77,2.566
0.21,10.912,4.851
0.22,18.782,8.349
0.22,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.11,0.589,0.262
0.1,2.341,1.041
0.2,5.77,2.566
0.22,10.912,4.851
0.21,18.782,8.349
0.23,30.001,13.336
0.22,44.458,19.762
0.21,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.1,0.589,0.262
0.2,2.341,1.041
0.2,5.77,2.566
0.22,10.912,4.851
0.21,18.782,8.349
0.22,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.04,0.589,0.262
0.16,2.341,1.041
0.2,5.77,2.566
0.22,10.912,4.851
0.21,18.782,8.349
0.23,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.09,0.589,0.262
0.19,2.341,1.041
0.19,5.77,2.566
0.21,10.912,4.851
0.2,18.782,8.349
0.21,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.1,0.589,0.262
0.19,2.341,1.041
0.2,5.77,2.566
0.21,10.912,4.851
0.2,18.782,8.349
0.23,30.001,13.336
0.21,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.11,0.589,0.262
0.2,2.341,1.041
0.2,5.77,2.566
0.19,10.912,4.851
0.23,18.782,8.349
0.22,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.1,0.589,0.262
0.2,2.341,1.041
0.15,5.77,2.566
0.22,10.912,4.851
0.22,18.782,8.349
0.22,30.001,13.336
0.22,44.458,19.762
0.21,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
0.1,0.589,0.262
0.2,2.341,1.041
0.2,5.77,2.566
0.22,10.912,4.851
0.21,18.782,8.349
0.22,30.001,13.336
0.22,44.458,19.762
0.22,62.065,27.587
0.2,85.488,37.998
0.2,113.246,50.335
