Throughput,FLOPS,MEM
8.35,33.554,1.049
11.67,79.304,1.86
13.4,155.709,2.917
12.65,268.435,4.194
10.66,425.552,5.703
11.6,637.224,7.464
8.92,905.97,9.437
9.78,1241.301,11.642
8.25,1655.872,14.108
7.96,2147.484,16.777
8.08,33.554,1.049
10.41,79.304,1.86
12.24,155.709,2.917
10.03,268.435,4.194
12.23,425.552,5.703
10.84,637.224,7.464
9.28,905.97,9.437
9.62,1241.301,11.642
8.16,1655.872,14.108
8.02,2147.484,16.777
5.01,33.554,1.049
9.91,79.304,1.86
12.36,155.709,2.917
13.32,268.435,4.194
12.56,425.552,5.703
10.78,637.224,7.464
9.12,905.97,9.437
9.61,1241.301,11.642
8.23,1655.872,14.108
7.89,2147.484,16.777
8.64,33.554,1.049
10.42,79.304,1.86
12.16,155.709,2.917
13.08,268.435,4.194
10.58,425.552,5.703
10.82,637.224,7.464
9.17,905.97,9.437
9.41,1241.301,11.642
8.21,1655.872,14.108
8.03,2147.484,16.777
8.67,33.554,1.049
10.41,79.304,1.86
8.1,155.709,2.917
13.05,268.435,4.194
11.86,425.552,5.703
10.32,637.224,7.464
8.96,905.97,9.437
9.03,1241.301,11.642
8.06,1655.872,14.108
7.95,2147.484,16.777
8.73,33.554,1.049
11.33,79.304,1.86
9.28,155.709,2.917
12.47,268.435,4.194
12.62,425.552,5.703
10.84,637.224,7.464
9.21,905.97,9.437
9.64,1241.301,11.642
8.1,1655.872,14.108
8.08,2147.484,16.777
8.26,33.554,1.049
10.15,79.304,1.86
11.94,155.709,2.917
12.54,268.435,4.194
10.93,425.552,5.703
10.95,637.224,7.464
9.24,905.97,9.437
9.18,1241.301,11.642
8.23,1655.872,14.108
8.04,2147.484,16.777
8.6,33.554,1.049
10.4,79.304,1.86
12.31,155.709,2.917
12.39,268.435,4.194
11.02,425.552,5.703
10.73,637.224,7.464
9.24,905.97,9.437
9.62,1241.301,11.642
8.25,1655.872,14.108
8.04,2147.484,16.777
8.19,33.554,1.049
10.39,79.304,1.86
8.16,155.709,2.917
13.14,268.435,4.194
12.46,425.552,5.703
10.79,637.224,7.464
9.19,905.97,9.437
9.54,1241.301,11.642
8.18,1655.872,14.108
8.05,2147.484,16.777
8.39,33.554,1.049
10.15,79.304,1.86
12.3,155.709,2.917
13.15,268.435,4.194
10.65,425.552,5.703
11.57,637.224,7.464
9.07,905.97,9.437
9.22,1241.301,11.642
8.12,1655.872,14.108
7.99,2147.484,16.777
9.45,33.554,1.049
11.69,79.304,1.86
11.47,155.709,2.917
12.21,268.435,4.194
13.14,425.552,5.703
10.97,637.224,7.464
9.27,905.97,9.437
9.66,1241.301,11.642
8.14,1655.872,14.108
8.05,2147.484,16.777
3.37,33.554,1.049
10.41,79.304,1.86
12.39,155.709,2.917
13.23,268.435,4.194
12.49,425.552,5.703
10.79,637.224,7.464
9.16,905.97,9.437
9.32,1241.301,11.642
8.2,1655.872,14.108
8,2147.484,16.777
8.64,33.554,1.049
10.4,79.304,1.86
12.34,155.709,2.917
13.31,268.435,4.194
10.75,425.552,5.703
11.92,637.224,7.464
9,905.97,9.437
9.67,1241.301,11.642
8.21,1655.872,14.108
8.07,2147.484,16.777
8.57,33.554,1.049
10.44,79.304,1.86
12.34,155.709,2.917
10.24,268.435,4.194
12.45,425.552,5.703
10.8,637.224,7.464
9.2,905.97,9.437
9.58,1241.301,11.642
8.17,1655.872,14.108
8.06,2147.484,16.777
3.4,33.554,1.049
10.42,79.304,1.86
12.36,155.709,2.917
13.12,268.435,4.194
12.39,425.552,5.703
10.58,637.224,7.464
9.27,905.97,9.437
9.27,1241.301,11.642
8.23,1655.872,14.108
8.06,2147.484,16.777
