Throughput,FLOPS,MEM
27,110.51,2.462
37.81,157.714,3.613
40.68,307.824,6.206
43.12,389.327,8.082
45.91,648.169,12.261
48.3,772.969,15.036
47.88,1169.123,21.154
46,1346.219,25.004
31.91,1908.265,33.416
43.78,2146.656,38.515
26.44,110.51,2.462
37.31,157.714,3.613
38.42,307.824,6.206
39.8,389.327,8.082
46.01,648.169,12.261
47.1,772.969,15.036
25.8,1169.123,21.154
46.72,1346.219,25.004
45.92,1908.265,33.416
44.13,2146.656,38.515
26.56,110.51,2.462
37.38,157.714,3.613
40.79,307.824,6.206
43.08,389.327,8.082
46.63,648.169,12.261
48.5,772.969,15.036
25.89,1169.123,21.154
46.19,1346.219,25.004
46.46,1908.265,33.416
44.07,2146.656,38.515
27.37,110.51,2.462
38.76,157.714,3.613
39.37,307.824,6.206
41.4,389.327,8.082
48.77,648.169,12.261
49.93,772.969,15.036
49.99,1169.123,21.154
34.25,1346.219,25.004
41.34,1908.265,33.416
46.45,2146.656,38.515
25.9,110.51,2.462
36.59,157.714,3.613
40.94,307.824,6.206
41.79,389.327,8.082
45.61,648.169,12.261
47.08,772.969,15.036
46.32,1169.123,21.154
45.07,1346.219,25.004
33,1908.265,33.416
41.4,2146.656,38.515
23.76,110.51,2.462
37.68,157.714,3.613
38.37,307.824,6.206
39.33,389.327,8.082
46.36,648.169,12.261
46.77,772.969,15.036
47.32,1169.123,21.154
35.47,1346.219,25.004
36.77,1908.265,33.416
43.95,2146.656,38.515
27.24,110.51,2.462
37.82,157.714,3.613
42.81,307.824,6.206
43.67,389.327,8.082
46.21,648.169,12.261
47.4,772.969,15.036
25.98,1169.123,21.154
46.51,1346.219,25.004
45.97,1908.265,33.416
44.11,2146.656,38.515
26.77,110.51,2.462
37.14,157.714,3.613
42.07,307.824,6.206
42.96,389.327,8.082
46.1,648.169,12.261
47.68,772.969,15.036
35.41,1169.123,21.154
33.26,1346.219,25.004
45.59,1908.265,33.416
44.08,2146.656,38.515
26.07,110.51,2.462
37.13,157.714,3.613
40.13,307.824,6.206
42.33,389.327,8.082
46.2,648.169,12.261
46.78,772.969,15.036
48.13,1169.123,21.154
46.04,1346.219,25.004
32.03,1908.265,33.416
44.92,2146.656,38.515
27.41,110.51,2.462
38.34,157.714,3.613
43.48,307.824,6.206
44.82,389.327,8.082
48.37,648.169,12.261
49.58,772.969,15.036
49.99,1169.123,21.154
49.19,1346.219,25.004
48.76,1908.265,33.416
34.2,2146.656,38.515
27.04,110.51,2.462
36.77,157.714,3.613
41.39,307.824,6.206
42.45,389.327,8.082
45.94,648.169,12.261
46.61,772.969,15.036
47.76,1169.123,21.154
46.28,1346.219,25.004
31.83,1908.265,33.416
43.74,2146.656,38.515
26.58,110.51,2.462
37.06,157.714,3.613
38.44,307.824,6.206
39.66,389.327,8.082
46.42,648.169,12.261
46.99,772.969,15.036
47.71,1169.123,21.154
27.63,1346.219,25.004
45.73,1908.265,33.416
43.56,2146.656,38.515
27.09,110.51,2.462
37.9,157.714,3.613
37.82,307.824,6.206
39.46,389.327,8.082
46.25,648.169,12.261
26.11,772.969,15.036
35.21,1169.123,21.154
46.94,1346.219,25.004
46.51,1908.265,33.416
44.39,2146.656,38.515
5.56,110.51,2.462
13.81,157.714,3.613
16.05,307.824,6.206
42.59,389.327,8.082
46,648.169,12.261
46.92,772.969,15.036
47.91,1169.123,21.154
45.91,1346.219,25.004
45.9,1908.265,33.416
32.51,2146.656,38.515
27.1,110.51,2.462
37.47,157.714,3.613
41.07,307.824,6.206
42.47,389.327,8.082
45.91,648.169,12.261
20.2,772.969,15.036
47.66,1169.123,21.154
46.23,1346.219,25.004
46.79,1908.265,33.416
44.3,2146.656,38.515
